Código comarca;Comarca;2016;2015;2014;2013;2011;2010;2006;2001;1996
1100;Arabako Ibarrak / Valles Alaveses;59,06;58,25;57,85;56,91;56,58;54,2;42,02;36,87;29,49
1200;Arabako Lautada / Llanada Alavesa;64,91;64,44;63,93;63,4;62,54;61,17;50,72;41,39;40,02
1300;Arabako Mendialdea / Montaña Alavesa;52,54;52,06;50,64;49,31;47,94;46,1;34,08;26,87;23,12
48100;Arratia Nerbioi / Arratia-Nervión;63,1;62,35;61,72;60,59;59,47;58,23;48,23;38,17;33,3
20200;Bidasoa Beherea / Bajo Bidasoa;64,82;64,35;64,05;63,59;62,89;61,93;51,12;41,76;41,05
48200;Bilbo Handia / Gran Bilbao;64,38;63,75;63,19;62,61;61,83;60,79;50,36;40,8;40,19
20100;Deba Beherea / Bajo Deba;59,56;58,9;58,19;57,47;56,56;55,5;46,35;38,29;35,6
20300;Debagoiena / Alto Deba;62,64;61,88;61,32;60,69;59,8;58,45;47,87;39,71;39,45
20400;Donostialdea / Donostia-San Sebastián;67,25;66,63;66,1;65,48;64,79;63,37;52,99;44,06;42,91
48300;Durangaldea / Duranguesado;60,19;59,4;58,67;58,04;57,17;55,7;45,47;37,59;34,22
48400;Enkartazioak / Encartaciones;59,58;58,69;58,04;57,55;56,53;55,19;44,87;34,75;32,94
1400;Errioxa Arabarra / Rioja Alavesa;53,11;51,79;51,08;50,41;49,15;48,04;35,63;28,11;23,72
48500;Gernika-Bermeo;62,49;61,64;60,95;60,19;59,29;57,63;46,95;38,02;36,03
20500;Goierri;59,77;58,94;58,34;57,64;56,85;55,41;45,24;35,79;35,1
1500;Gorbeia Inguruak / Estribaciones del Gorbea;68,15;67,59;67,12;66,92;65,8;63,81;51,63;44,8;37,91
1600;Kantauri Arabarra / Cantábrica Alavesa;60,46;59,73;59,35;58,72;58,1;56,92;46,16;38,57;36,64
48600;Markina-Ondarroa;58,14;57,21;56,6;55,84;54,76;52,98;43,01;35,14;33,41
48700;Plentzia-Mungia;73,97;73,33;72,85;72,06;71,08;69,89;59,8;49,5;45,55
20600;Tolosaldea / Tolosa;59,16;58,5;57,91;57,25;56,22;54,6;43,97;35,51;33,06
20700;Urola-Kostaldea / Urola Costa;62,61;61,66;60,81;60,15;59,25;57,77;47,27;37,85;35,98
